source,output,name,description,needs_review,review_reason
C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\Villager Cards\20260728_103127.jpg,C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\prepared-images\20260728_103127.webp,20260728_103127,,True,Exact card name and full description not reliably extracted.
C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\Villager Cards\20260728_103133.jpg,C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\prepared-images\20260728_103133.webp,20260728_103133,,True,Exact card name and full description not reliably extracted.
C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\Villager Cards\20260728_103143.jpg,C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\prepared-images\20260728_103143.webp,20260728_103143,,True,Exact card name and full description not reliably extracted.
C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\Villager Cards\20260728_103149.jpg,C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\prepared-images\20260728_103149.webp,20260728_103149,,True,Exact card name and full description not reliably extracted.
C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\Villager Cards\20260728_103156.jpg,C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\prepared-images\20260728_103156.webp,20260728_103156,,True,Exact card name and full description not reliably extracted.
C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\Villager Cards\20260728_103201.jpg,C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\prepared-images\20260728_103201.webp,20260728_103201,,True,Exact card name and full description not reliably extracted.
C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\Villager Cards\20260728_103206.jpg,C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\prepared-images\20260728_103206.webp,20260728_103206,,True,Exact card name and full description not reliably extracted.
C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\Villager Cards\20260728_103215.jpg,C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\prepared-images\20260728_103215.webp,20260728_103215,,True,Exact card name and full description not reliably extracted.
C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\Villager Cards\20260728_103221.jpg,C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\prepared-images\20260728_103221.webp,20260728_103221,,True,Exact card name and full description not reliably extracted.
C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\Villager Cards\20260728_103227.jpg,C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\prepared-images\20260728_103227.webp,20260728_103227,,True,Exact card name and full description not reliably extracted.
C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\Villager Cards\20260728_103231.jpg,C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\prepared-images\20260728_103231.webp,20260728_103231,,True,Exact card name and full description not reliably extracted.
C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\Villager Cards\20260728_103242.jpg,C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\prepared-images\20260728_103242.webp,20260728_103242,,True,Exact card name and full description not reliably extracted.
C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\Villager Cards\20260728_103248.jpg,C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\prepared-images\20260728_103248.webp,20260728_103248,,True,Exact card name and full description not reliably extracted.
C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\Villager Cards\20260728_103257.jpg,C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\prepared-images\20260728_103257.webp,20260728_103257,,True,Exact card name and full description not reliably extracted.
C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\Villager Cards\20260728_103302.jpg,C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\prepared-images\20260728_103302.webp,20260728_103302,,True,Exact card name and full description not reliably extracted.
C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\Villager Cards\20260728_103308.jpg,C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\prepared-images\20260728_103308.webp,20260728_103308,,True,Exact card name and full description not reliably extracted.
C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\Villager Cards\20260728_103314.jpg,C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\prepared-images\20260728_103314.webp,20260728_103314,,True,Exact card name and full description not reliably extracted.
C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\Villager Cards\20260728_103320.jpg,C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\prepared-images\20260728_103320.webp,20260728_103320,,True,Exact card name and full description not reliably extracted.
C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\Villager Cards\20260728_103326.jpg,C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\prepared-images\20260728_103326.webp,20260728_103326,,True,Exact card name and full description not reliably extracted.
C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\Villager Cards\20260728_103332.jpg,C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\prepared-images\20260728_103332.webp,20260728_103332,,True,Exact card name and full description not reliably extracted.
C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\Villager Cards\20260728_103340.jpg,C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\prepared-images\20260728_103340.webp,20260728_103340,,True,Exact card name and full description not reliably extracted.
C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\Villager Cards\20260728_103346.jpg,C:\Users\Joga\Music\Darbalaukis\Agentas\Stardew Valley\Board game parts\prepared-images\20260728_103346.webp,20260728_103346,,True,Exact card name and full description not reliably extracted.
